N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,4
2,light_myLife,lady_divine_pt3,18
3,confessing,starlight,0
4,o_gladsome,o_light,1
5,lady_love,word_warning,31
6,whisper,wishing_song,0
7,does_anybody,bali,64
8,spider,desert_song,0
9,old_eli,someday_prince,7
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,4
12,kansas,roses,1
13,whisper_to_me,itallcomes,2
14,kalamazoo_arnstein,kalamazoo_warren,3
15,prelude,dakota,26
16,vagyok,perhaps,12
17,messiah,fence,1
18,shepherd,beginthebeguine,0
19,amothersprayer,myownsweet,14
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,1
22,motheranddad,nearyou,7
23,tonighthesailedagain,iloveyouyesido,2
24,thehappywhistler,sanfranciscobrewingad,3
25,muehlebachbeersmith,timeformuehlebach,1
26,mygodandi,mygodanditwo,1
27,goodnight,whilewedream,0
28,rendezvous,idreamed,48
29,mizpahshalom,shalom,1
30,evangelimann,mitternachtstango,13
31,mojoworkout,gotmymojoworking,2
32,sognonostalgico,girlinthedark,4
33,hessofine,mysweetlord,1
34,jeanniemichele,themeatimetolove,12
35,daybyday,themetodayshow,58
36,keeponsinging,keeponsingingtwo,1
37,dirlada,loopdilove,4
38,letitend,howdeepisyourlove,11
39,pourtoi,feelings,1
40,uncantoagalicia,bisschenfrieden,0
41,lifeisarock,menusong,0
42,es,hey,1
43,tillyou,phantomoftheopera,0
44,ithinkaboutyou,ithinkaboutyoutwo,68
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,0
47,gehtsparkasse,begood,68
48,heartbeat,getoveryou,68
49,gumtree,downunder,2
50,blessees,janine,68
51,reich,niveau,30
